Experiment,Objective,Mean,Std,Min,Max
All Objectives,Macro Deviation,485.3300368731134,231.90149979724984,221.25730537977563,1657.516687657592
All Objectives,Micronutrient Completeness,-1.0,0.0,-1.0,-1.0
All Objectives,Antioxidant Diversity,-1453.3478305356984,605.7588044721008,-4364.73844751087,-712.3524435496856
All Objectives,Sugar-Fiber Ratio,10.777715792465292,1.441419526703329,8.854917236816263,15.716138303978566
All Objectives,Fat Quality,-0.6942714654749331,0.008893301805086115,-0.711817342306279,-0.672418983437673
All Objectives,Electrolyte Balance,0.31574686317537815,0.06021999805340638,0.22688585874295342,0.49172349286091177
All Objectives,Food Diversity,-110.15103092783505,5.256110726394149,-121.2,-93.9
All Objectives,Total Weight,410649.7493332583,199919.71804953067,189528.90815113654,1421725.585630786
Core Nutrition,Macro Deviation,124.07169218912321,11.254466470415887,98.54428109801549,151.25930123431237
Core Nutrition,Micronutrient Completeness,-1.0,0.0,-1.0,-1.0
Core Nutrition,Sugar-Fiber Ratio,8.516032490022194,2.304492205088758,5.696182209847335,16.758403565124535
Core Nutrition,Fat Quality,-0.7259417249731167,0.01904340693168278,-0.7528957472715083,-0.6745982763322045
Core Nutrition,Electrolyte Balance,0.13528295399719062,0.09984315416080031,0.0009715875848375077,0.41693653996991875
Health Focused,Micronutrient Completeness,-1.0,0.0,-1.0,-1.0
Health Focused,Antioxidant Diversity,-7905.030101978587,871.1556017572796,-9494.730155062234,-6242.246184573958
Health Focused,Fat Quality,-0.6885482821173496,0.008533852564265098,-0.6979631129149001,-0.6617255516635376
Health Focused,Food Diversity,-121.37794117647057,0.1008720625861333,-121.45,-120.95
Practical,Macro Deviation,91.93154073721503,3.2564278524859325,86.6149739454679,105.10015545344105
Practical,Sugar-Fiber Ratio,11.44249740525004,2.6436459719318464,7.527924604248699,17.79965460089174
Practical,Electrolyte Balance,0.1735028083785499,0.12601403568280775,0.0012207579720384665,0.4759906926871902
Practical,Total Weight,78508.34742824774,1825.293794290848,75526.34330581484,86981.81175682986
